17;acarapce;ACARAPÉ/CE;Ceará;Acopiara;%Similaridade0.5
;chave;Município;Estado;Registro Correto;Similaridade
17;acarapce;ACARAPÉ/CE;Ceará;Alcântaras;%Similaridade0.5
;chave;Município;Estado;Registro Correto;Similaridade
18;acarau;ACARAU;Ceará;Abaiara;%Similaridade0.5
;chave;Município;Estado;Registro Correto;Similaridade
18;acarau;ACARAU;Ceará;Acarape;%Similaridade0.5
;chave;Município;Estado;Registro Correto;Similaridade
18;acarau;ACARAU;Ceará;Acaraú;%Similaridade0.5
;chave;Município;Estado;Registro Correto;Similaridade
18;acarau;ACARAU;Ceará;Acopiara;%Similaridade0.5
;chave;Município;Estado;Registro Correto;Similaridade
18;acarau;ACARAU;Ceará;Aiuaba;%Similaridade0.5
;chave;Município;Estado;Registro Correto;Similaridade
17;acarapce;ACARAPÉ/CE;Ceará;Alcântaras;%Similaridade0.5
18;acarau;ACARAU;Ceará;Alcântaras;%Similaridade0.5
;chave;Município;Estado;Registro Correto;Similaridade
18;acarau;ACARAU;Ceará;Altaneira;%Similaridade0.5
;chave;Município;Estado;Registro Correto;Similaridade
20;acaupi;ACAUÃ/PI;Piauí;Acauã;%Similaridade0.5
;chave;Município;Estado;Registro Correto;Similaridade
22;acopiara;Acopiara;Ceará;Abaiara;%Similaridade0.5
;chave;Município;Estado;Registro Correto;Similaridade
22;acopiara;Acopiara;Ceará;Acarape;%Similaridade0.5
;chave;Município;Estado;Registro Correto;Similaridade
22;acopiara;Acopiara;Ceará;Acaraú;%Similaridade0.5
;chave;Município;Estado;Registro Correto;Similaridade
22;acopiara;Acopiara;Ceará;Acopiara;%Similaridade0.5
;chave;Município;Estado;Registro Correto;Similaridade
22;acopiara;Acopiara;Ceará;Aiuaba;%Similaridade0.5
;chave;Município;Estado;Registro Correto;Similaridade
17;acarapce;ACARAPÉ/CE;Ceará;Alcântaras;%Similaridade0.5
22;acopiara;Acopiara;Ceará;Alcântaras;%Similaridade0.5
;chave;Município;Estado;Registro Correto;Similaridade
23;acopiarace;ACOPIARA - CE;Ceará;Abaiara;%Similaridade0.5
;chave;Município;Estado;Registro Correto;Similaridade
23;acopiarace;ACOPIARA - CE;Ceará;Acarape;%Similaridade0.5
;chave;Município;Estado;Registro Correto;Similaridade
23;acopiarace;ACOPIARA - CE;Ceará;Acaraú;%Similaridade0.5
;chave;Município;Estado;Registro Correto;Similaridade
23;acopiarace;ACOPIARA - CE;Ceará;Acopiara;%Similaridade0.5
;chave;Município;Estado;Registro Correto;Similaridade
23;acopiarace;ACOPIARA - CE;Ceará;Aiuaba;%Similaridade0.5
;chave;Município;Estado;Registro Correto;Similaridade
17;acarapce;ACARAPÉ/CE;Ceará;Alcântaras;%Similaridade0.5
22;acopiara;Acopiara;Ceará;Alcântaras;%Similaridade0.5
23;acopiarace;ACOPIARA - CE;Ceará;Alcântaras;%Similaridade0.5
;chave;Município;Estado;Registro Correto;Similaridade
24;acopiarace;ACOPIARA/CE;Ceará;Abaiara;%Similaridade0.5
;chave;Município;Estado;Registro Correto;Similaridade
24;acopiarace;ACOPIARA/CE;Ceará;Acarape;%Similaridade0.5
;chave;Município;Estado;Registro Correto;Similaridade
24;acopiarace;ACOPIARA/CE;Ceará;Acaraú;%Similaridade0.5
;chave;Município;Estado;Registro Correto;Similaridade
24;acopiarace;ACOPIARA/CE;Ceará;Acopiara;%Similaridade0.5
;chave;Município;Estado;Registro Correto;Similaridade
24;acopiarace;ACOPIARA/CE;Ceará;Aiuaba;%Similaridade0.5
;chave;Município;Estado;Registro Correto;Similaridade
17;acarapce;ACARAPÉ/CE;Ceará;Alcântaras;%Similaridade0.5
22;acopiara;Acopiara;Ceará;Alcântaras;%Similaridade0.5
23;acopiarace;ACOPIARA - CE;Ceará;Alcântaras;%Similaridade0.5
24;acopiarace;ACOPIARA/CE;Ceará;Alcântaras;%Similaridade0.5
